Time,hotWaterPump,mashStirrer,controllerInfo,mashVolume,boilerValve,cooler,dispenser3,aerator,waterCirculationPump,boilerVolume,wortPump,dispenser4,plateValve,mashTemp,envTemp,boiler,delayTimer,waterHeater,dispenser1,dispenser2,hwtVolume
08:42:02.288632,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.2166666667,33.3,1,1,11.9818849564
08:42:07.293871,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.3,33.3,1,1,11.9818849564
08:42:12.296620,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.3833333333,33.3,1,1,11.9818849564
08:42:17.300640,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.4666666667,33.3,1,1,11.9818849564
08:42:22.305884,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.55,33.3,1,1,11.9818849564
08:42:27.311112,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.6333333333,33.3,1,1,11.9818849564
08:42:32.316340,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.7166666667,33.3,1,1,11.9818849564
08:42:37.321573,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.8,33.3,1,1,11.9818849564
08:42:42.326819,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.8833333333,33.3,1,1,11.9818849564
08:42:47.331287,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,13.9666666667,33.3,1,1,11.9818849564
08:42:52.336554,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.05,33.3,1,1,11.9818849564
08:42:57.341806,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.1333333333,33.3,1,1,11.9818849564
08:43:02.347048,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.2166666667,33.3,1,1,11.9818849564
08:43:07.352289,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.3,33.3,1,1,11.9818849564
08:43:12.356645,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.3833333333,33.3,1,1,11.9818849564
08:43:17.360622,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.4666666667,33.3,1,1,11.9818849564
08:43:22.365824,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.55,33.3,1,1,11.9818849564
08:43:27.371044,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.6333333333,33.3,1,1,11.9818849564
08:43:32.376268,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.7166666667,33.3,1,1,11.9818849564
08:43:37.381500,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.8,33.3,1,1,11.9818849564
08:43:42.386747,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.8833333333,33.3,1,1,11.9818849564
08:43:47.392001,0,0,0,4.67185211182,0,212,1,0,0,13.3528107007,0,1,0,60.0,212,212,14.9666666667,33.3,1,1,11.9818849564
